id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,purpose,member_id,loan_id,emp_length,home_ownership,annual_inc,verification_status,dti,delinq_2yrs,last_pymnt_d,total_pymnt,out_prncp
1077501,5000,4975, 36 months,10.65,162.87,B,B2,18-Dec,Fully Paid,credit_card,1296599,1077501,10+ years,RENT,24000,Verified,27.65,0,15-Jan,5861.071414,0
1077430,2500,2500, 60 months,15.27,59.83,C,C4,18-Dec,Charged Off,car,1314167,1077430,< 1 year,RENT,30000,Source Verified,1,0,20-Apr,1008.71,0
1077175,2400,2400, 36 months,15.96,84.33,C,C5,18-Dec,Fully Paid,small_business,1313524,1077175,10+ years,RENT,12252,Not Verified,8.72,0,21-Jun,3003.653644,0
1076863,10000,10000, 36 months,13.49,339.31,C,C1,18-Dec,Fully Paid,other,1277178,1076863,10+ years,RENT,49200,Source Verified,20,0,15-Jan,12226.30221,0
1075358,3000,3000, 60 months,12.69,67.79,B,B5,18-Dec,Current,other,1311748,1075358,1 year,RENT,80000,Source Verified,17.94,0,16-Jan,3242.17,766.9
1075269,5000,5000, 36 months,7.9,156.46,A,A4,18-Dec,Fully Paid,wedding,1311441,1075269,3 years,RENT,36000,Source Verified,11.2,0,15-Jan,5631.377753,0
1069639,7000,7000, 60 months,15.96,170.08,C,C5,18-Dec,Current,debt_consolidation,1304742,1069639,8 years,RENT,47004,Not Verified,23.51,0,16-Jan,8136.84,1889.15
1072053,3000,3000, 36 months,18.64,109.43,E,E1,18-Dec,Fully Paid,car,1288686,1072053,9 years,RENT,48000,Source Verified,5.35,0,15-Jan,3938.144334,0
1071795,5600,5600, 60 months,21.28,152.39,F,F2,18-Dec,Charged Off,small_business,1306957,1071795,4 years,OWN,40000,Source Verified,5.55,0,19-Apr,646.02,0
1071570,5375,5350, 60 months,12.69,121.45,B,B5,18-Dec,Charged Off,other,1306721,1071570,< 1 year,RENT,15000,Verified,18.08,0,19-Nov,1476.19,0
1070078,6500,6500, 60 months,14.65,153.45,C,C3,18-Dec,Fully Paid,debt_consolidation,1305201,1070078,5 years,OWN,72000,Not Verified,16.12,0,20-Jun,7677.52,0
1069908,12000,12000, 36 months,12.69,402.54,B,B5,18-Dec,Fully Paid,debt_consolidation,1305008,1069908,10+ years,OWN,75000,Source Verified,10.78,0,20-Sep,13943.08,0
1064687,9000,9000, 36 months,13.49,305.38,C,C1,18-Dec,Charged Off,debt_consolidation,1298717,1064687,< 1 year,RENT,30000,Source Verified,10.08,0,19-Jul,2270.7,0
1069866,3000,3000, 36 months,9.91,96.68,B,B1,18-Dec,Fully Paid,credit_card,1304956,1069866,3 years,RENT,15000,Source Verified,12.56,0,15-Jan,3478.981915,0
1069057,10000,10000, 36 months,10.65,325.74,B,B2,18-Dec,Charged Off,other,1303503,1069057,3 years,RENT,100000,Source Verified,7.06,0,20-Oct,7471.99,0
1069759,1000,1000, 36 months,16.29,35.31,D,D1,18-Dec,Fully Paid,debt_consolidation,1304871,1069759,< 1 year,RENT,28000,Not Verified,20.31,0,15-Jan,1270.171106,0
1065775,10000,10000, 36 months,15.27,347.98,C,C4,18-Dec,Fully Paid,home_improvement,1299699,1065775,4 years,RENT,42000,Not Verified,18.6,0,15-Jan,12519.26045,0
1069971,3600,3600, 36 months,6.03,109.57,A,A1,18-Dec,Fully Paid,major_purchase,1304884,1069971,10+ years,MORTGAGE,110000,Not Verified,10.52,0,20-May,3785.02,0
1062474,6000,6000, 36 months,11.71,198.46,B,B3,18-Dec,Fully Paid,medical,1294539,1062474,1 year,MORTGAGE,84000,Verified,18.44,2,15-Feb,7164.499852,0
1069742,9200,9200, 36 months,6.03,280.01,A,A1,18-Dec,Fully Paid,debt_consolidation,1304855,1069742,6 years,RENT,77385.19,Not Verified,9.86,0,19-Jul,9459.96,0
1069740,20250,19142.16108, 60 months,15.27,484.63,C,C4,18-Dec,Fully Paid,debt_consolidation,1284848,1069740,3 years,RENT,43370,Verified,26.53,0,15-Aug,27663.04267,0
1039153,21000,21000, 36 months,12.42,701.73,B,B4,18-Dec,Charged Off,debt_consolidation,1269083,1039153,10+ years,RENT,105000,Verified,13.22,0,20-Sep,14025.4,0
1069710,10000,10000, 36 months,11.71,330.76,B,B3,18-Dec,Fully Paid,credit_card,1304821,1069710,10+ years,OWN,50000,Source Verified,11.18,0,15-Jan,11902.56157,0
1069700,10000,10000, 36 months,11.71,330.76,B,B3,18-Dec,Fully Paid,debt_consolidation,1304810,1069700,5 years,RENT,50000,Not Verified,16.01,0,20-Oct,11536.31,0
1069559,6000,6000, 36 months,11.71,198.46,B,B3,18-Dec,Charged Off,major_purchase,1304634,1069559,1 year,RENT,76000,Not Verified,2.4,0,19-Oct,2050.14,0
1069697,15000,15000, 36 months,9.91,483.38,B,B1,18-Dec,Fully Paid,credit_card,1273773,1069697,2 years,MORTGAGE,92000,Verified,29.44,0,19-Sep,15823.48,0
1069800,15000,8725, 36 months,14.27,514.64,C,C2,18-Dec,Charged Off,debt_consolidation,1304679,1069800,9 years,RENT,60000,Not Verified,15.22,0,,0,0
1069657,5000,5000, 60 months,16.77,123.65,D,D2,18-Dec,Charged Off,other,1304764,1069657,2 years,RENT,50004,Not Verified,13.97,3,19-Dec,1609.12,0
1069799,4000,4000, 36 months,11.71,132.31,B,B3,18-Dec,Fully Paid,debt_consolidation,1304678,1069799,10+ years,MORTGAGE,106000,Not Verified,5.63,1,20-Apr,4484.79,0
1047704,8500,8500, 36 months,11.71,281.15,B,B3,18-Dec,Fully Paid,credit_card,1278806,1047704,< 1 year,RENT,25000,Source Verified,12.19,0,21-Dec,10122.20861,0
1032111,4375,4375, 36 months,7.51,136.11,A,A3,18-Dec,Fully Paid,debt_consolidation,1261745,1032111,7 years,MORTGAGE,17108,Source Verified,20.34,0,15-Jan,4898.543558,0
1069539,31825,31825, 36 months,7.9,995.82,A,A4,18-Dec,Fully Paid,debt_consolidation,1304608,1069539,5 years,MORTGAGE,75000,Verified,14.03,0,20-Aug,34886.08,0
1065420,10000,9975, 60 months,15.96,242.97,C,C5,18-Dec,Current,debt_consolidation,1299514,1065420,2 years,RENT,29120,Verified,22.83,0,16-Jan,11622.36,2695.31
